动画名称,动画url,动画总集数,动画放映时间,动画评分,动画放映类型,动画播放次数,动画原作,动画剧情类型,动画制作公司,动画监督放学后的Pleiades,http://donghua.dmzj.com/donghua_info/2078.html,7,2011-02-01,4.3,TV,50863,暂无,奇幻,GAINAX,佐伯昭志
FLAG,http://donghua.dmzj.com/donghua_info/1023.html,13,2006-06-16,4.8,TV,0,高橋良輔、TEAM FLAG,科幻,アンサー・スタジオ,高橋良輔
柠檬天使计划,http://donghua.dmzj.com/donghua_info/925.html,13,2006-01-06,4.4,TV,0,AMGエンタテインメント,竞技,RADIX,千葉大輔
吉永家的石像怪,http://donghua.dmzj.com/donghua_info/1026.html,13,2006-04-01,4.4,TV,0,田口仙年堂,搞笑,トライネットエンタテインメント、スタジオ雲雀,鈴木行
西方善魔女,http://donghua.dmzj.com/donghua_info/1027.html,13,2006-04-07,4.0,TV,0,荻原規子,奇幻,ハルフィルムメーカー,中山勝一
公主请小心,http://donghua.dmzj.com/donghua_info/1032.html,12,2006-04-12,3.0,TV,0,ノーマッド,搞笑,ノーマッド,高柳滋仁
怪医美女RAY,http://donghua.dmzj.com/donghua_info/1029.html,13,2006-04-05,4.6,TV,0,吉富昭仁,悬疑,OLM(TEAM IGUCHI),高橋ナオヒト
吉宗,http://donghua.dmzj.com/donghua_info/1041.html,24,2006-04-05,3.0,TV,0,大都技研,搞笑,AICスピリッツ,佐藤博暉
落语天女,http://donghua.dmzj.com/donghua_info/1056.html,12,2006-01-05,4.7,TV,0,桂歌若プロジェクト,奇幻,TNK,高本宣弘
练马萝卜兄弟,http://donghua.dmzj.com/donghua_info/1057.html,12,2006-01-09,3.5,TV,0,NDB PROJECT,搞笑,スタジオ雲雀,ワタナベシンイチ
吟游默示录2,http://donghua.dmzj.com/donghua_info/1060.html,13,2006-01-22,5.0,TV,0,暂无,耽美,Bee Train,川面真也
飞天小女警Z粤语版,http://donghua.dmzj.com/donghua_info/1310.html,39,2006-07-01,5.0,TV,0,クレイグ・マクラッケン,搞笑,東映アニメーション,暂无
驱魔少年,http://donghua.dmzj.com/donghua_info/108.html,103,2006-10-03,4.8,TV,2939089,星野桂,冒险,トムス?エンタテインメント ,鍋島修
勇者的故事,http://donghua.dmzj.com/donghua_info/330.html,1,2006-07-08,3.9,剧场版,10801,宮部みゆき,冒险,GONZO,千明孝一
今天的五年二班 OVA,http://donghua.dmzj.com/donghua_info/354.html,4,2006-03-24,4.8,OVA,17487,桜場コハル,搞笑,真空間、リリクス,長澤剛 
动物之森,http://donghua.dmzj.com/donghua_info/331.html,1,2006-12-16,5.0,剧场版,536,任天堂,社会,OLM TEAM KAMEI ,志村錠児 
银发的阿基多,http://donghua.dmzj.com/donghua_info/336.html,1,2006-01-07,4.5,剧场版,5543,饭田 马之介,爱情,GONZO ,杉山 庆一 
反叛的鲁路修,http://donghua.dmzj.com/donghua_info/414.html,26,2006-10-05,4.8,TV,1613304,大河内一楼、谷口悟朗,机战,サンライズ,谷口悟朗
不公正抽签,http://donghua.dmzj.com/donghua_info/357.html,12,2006-10-06,4.6,TV,16845,木尾士目,校园,亜細亜堂,水島努
怪 ayakashi,http://donghua.dmzj.com/donghua_info/402.html,11,2006-01-12,4.8,TV,13973,暂无,奇幻,東映アニメーション ,暂无
高达SEED C.E.73 观星者,http://donghua.dmzj.com/donghua_info/422.html,3,2006-07-14,4.2,OVA,57388,矢立肇、富野由悠季 ,机战,サンライズ,西澤晋 
凉宫春日的忧郁,http://donghua.dmzj.com/donghua_info/435.html,14,2006-04-01,4.9,TV,287385,谷川流,校园,京都アニメーション ,石原立也 
Fate/stay night 命运待夜临,http://donghua.dmzj.com/donghua_info/427.html,24,2006-01-06,4.8,TV,1419904,奈須きのこ、TYPE-MOON,冒险,スタジオディーン,山口祐司
校园迷糊大王 第二季,http://donghua.dmzj.com/donghua_info/450.html,26,2006-04-01,4.8,TV,159882,小林尽,搞笑,スタジオコメット,金崎貴臣 
高达MS IGLOO 默示录0079,http://donghua.dmzj.com/donghua_info/411.html,3,2006-04-26,4.8,OVA,25916,矢立肇,机战,サンライズ,今西隆志
遥远时空中剧场版 舞一夜,http://donghua.dmzj.com/donghua_info/480.html,1,2006-09-09,5.0,剧场版,5120,コーエー,耽美,ゆめ太カンパニー,篠原俊哉
水星领航员第二部,http://donghua.dmzj.com/donghua_info/485.html,26,2006-04-02,5.0,TV,57925,天野こずえ,搞笑,ルフィルムメーカー,佐藤順一
金色琴弦,http://donghua.dmzj.com/donghua_info/499.html,25,2006-10-01,4.8,TV,102494,コーエー,爱情,ゆめ太カンパニー,于地纮仁
北斗神拳新剧场版,http://donghua.dmzj.com/donghua_info/532.html,5,2006-03-11,5.0,剧场版,31289,武論尊、原哲夫,热血,A.C.G.T,暂无
苍天之拳,http://donghua.dmzj.com/donghua_info/533.html,26,2006-10-04,5.0,TV,43656,原哲夫,热血,パルムスタジオ ,山口美浩 
xxxHOLiC,http://donghua.dmzj.com/donghua_info/500.html,24,2006-04-06,4.9,TV,219354,CLAMP,奇幻,Production I.G,水島努
翼年代记第二部,http://donghua.dmzj.com/donghua_info/548.html,26,2006-11-11,4.8,TV,61172,CLAMP,爱情,ビィートレイン ,真下耕一 
魔法老师第二部,http://donghua.dmzj.com/donghua_info/562.html,28,2006-10-04,4.5,TV,194367,赤松健,后宫,ガンジス、シャフト,新房昭之
蔷薇少女特别篇,http://donghua.dmzj.com/donghua_info/567.html,2,2006-12-23,4.9,TV,14461,PEACH-PIT,后宫,ノーマッド,松尾衡
传颂之物,http://donghua.dmzj.com/donghua_info/559.html,26,2006-04-08,4.9,TV,1020025,AQUAPLUS ,战争,OLM TEAM IWASA ,小林智树 
樱兰高校男公关部,http://donghua.dmzj.com/donghua_info/578.html,26,2006-04-01,4.9,TV,505471,葉鳥ビスコ,搞笑,ボンズ,五十嵐卓哉
公主公主,http://donghua.dmzj.com/donghua_info/577.html,24,2006-04-05,4.4,TV,112584,つだみきよ,搞笑,スタジオディーン,元永慶太郎
我的女神第二部,http://donghua.dmzj.com/donghua_info/511.html,24,2006-04-06,4.9,TV,150032,藤島康介,爱情,AIC,合田浩章
彩云国物语,http://donghua.dmzj.com/donghua_info/651.html,39,2006-04-08,4.4,TV,107823,雪乃紗衣,爱情,マッドハウス,宍戸淳
黑礁,http://donghua.dmzj.com/donghua_info/572.html,12,2006-04-11,4.8,TV,395854,広江礼威,战争,マッドハウス,片渕須直
银牙传说,http://donghua.dmzj.com/donghua_info/1063.html,12,2005-11-03,5.0,TV,0,高橋よしひろ,社会,スタジオディーン,高橋よしひろ
动物横町,http://donghua.dmzj.com/donghua_info/1064.html,16,2005-10-04,5.0,TV,0,前川涼,搞笑,ぎゃろっぷ,西本由起夫
韦驮天翔,http://donghua.dmzj.com/donghua_info/1068.html,52,2005-10-01,4.4,TV,0,藤原としひろ,竞技,トランス・アーツ,浜名孝行
IGPX,http://donghua.dmzj.com/donghua_info/1072.html,26,2005-10-05,4.6,TV,0,Production I.G,竞技,Production I.G,本郷みつる
高机动幻想2,http://donghua.dmzj.com/donghua_info/1079.html,25,2005-10-04,3.3,TV,0,ソニー・コンピュータエンタテインメント,机战,ブレインズ・ベース,篠原俊哉
我是小粘粘,http://donghua.dmzj.com/donghua_info/1087.html,13,2005-07-08,4.4,TV,0,木村航,奇幻,XEBEC M2,西森章
绝对正义VS外道少女队,http://donghua.dmzj.com/donghua_info/1088.html,13,2005-07-04,4.7,TV,0,あかほりさとる(SATZ),搞笑,RADIX,まついひとゆき
绝对少年,http://donghua.dmzj.com/donghua_info/1094.html,26,2005-05-21,4.6,TV,0,伊藤和典,奇幻,亜細亜堂,望月智充
蓝色潮痕,http://donghua.dmzj.com/donghua_info/1091.html,13,2005-07-06,3.7,TV,0,小澤さとる、飯田馬之介、バンダイビジュアル,战争,テレコム・アニメーションフィルム、テレビ朝日,飯田馬之介
人机续篇,http://donghua.dmzj.com/donghua_info/1105.html,13,2005-01-05,3.2,TV,0,暂无,机战,feel.,むらた雅彦
真田十勇士,http://donghua.dmzj.com/donghua_info/1111.html,13,2005-05-07,4.3,TV,0,河中志摩夫,冒险,ティー・ピー・オー,暂无
异度传说,http://donghua.dmzj.com/donghua_info/1108.html,12,2005-01-05,4.3,TV,0,ナムコ,冒险,東映アニメーション,暂无
xxxHOLiC 剧场版 仲夏夜之梦,http://donghua.dmzj.com/donghua_info/345.html,1,2005-08-20,4.8,剧场版,15830,CLAMP,奇幻,Production I.G,水島努
幻光之翼,http://donghua.dmzj.com/donghua_info/327.html,6,2005-12-16,3.3,OVA,12627,富野由悠季,机战,サンライズ ,富野由悠季 
AIR 鸟之诗 剧场版,http://donghua.dmzj.com/donghua_info/337.html,1,2005-02-05,4.9,剧场版,19854,Key,爱情,東映アニメーション,出崎統 
校园迷糊大王OVA,http://donghua.dmzj.com/donghua_info/451.html,2,2005-11-22,4.7,OVA,10957,小林尽,搞笑,スタジオコメット,高松信司 
全金属狂潮TSR,http://donghua.dmzj.com/donghua_info/433.html,14,2005-07-08,4.6,TV,160643,賀東招二,战争,京都アニメーション,武本康弘
翼年代记剧场版 鸟笼国的公主,http://donghua.dmzj.com/donghua_info/347.html,1,2005-08-20,4.9,剧场版,5752,CLAMP,奇幻,Production I.G,川崎逸朗 
AIR 鸟之诗,http://donghua.dmzj.com/donghua_info/429.html,15,2005-01-06,4.9,TV,397175,Key / ビジュアルアーツ,爱情,京都アニメーション ,石原立也 
高达Z剧场版,http://donghua.dmzj.com/donghua_info/407.html,3,2005-05-28,5.0,剧场版,20664,富野由悠季 ,机战,サンライズ,富野由悠季
